image_id;model_name;caption
baby_yoda.jpg;best_model_20250725_135939.pkl;A stuffed teddy bear sitting in front of a refrigerator.
baby_yoda.jpg;best_model_20250725_174616.pkl;A stuffed animal with a banana in it.
baby_yoda.jpg;best_model_20250725_233058.pkl;a close up of a person holding a pair of scissors
baby_yoda.jpg;best_model_20250726_111600.pkl;A man holding a stuffed animal in his hand.
baby_yoda.jpg;best_model_20250726_183853.pkl;A man is holding a stuffed animal in his hand.
beach.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
beach.jpg;best_model_20250725_135939.pkl;A group of people sitting on a beach with umbrellas.
beach.jpg;best_model_20250725_174616.pkl;A group of people sitting on top of a sandy beach.
beach.jpg;best_model_20250725_233058.pkl;A group of people sitting on top of a sandy beach.
beach.jpg;best_model_20250726_111600.pkl;A group of people sitting on the beach.
beach.jpg;best_model_20250726_183853.pkl;A group of people sitting on a beach.
bibi.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
bibi.jpg;best_model_20250725_135939.pkl;A black cat sitting on top of a toilet bowl.
bibi.jpg;best_model_20250725_174616.pkl;A cat that is laying down on a bed.
bibi.jpg;best_model_20250725_233058.pkl;A cat that is laying down on a bed.
bibi.jpg;best_model_20250726_111600.pkl;A cat that is laying on a bed.
bibi.jpg;best_model_20250726_183853.pkl;A cat laying on a bed with a remote control.
cs2.jpg;best_model_20250725_125558.pkl;A group of people sitting around a table.
cs2.jpg;best_model_20250725_135939.pkl;A laptop computer sitting on top of a desk.
cs2.jpg;best_model_20250725_174616.pkl;A laptop computer sitting on top of a desk.
cs2.jpg;best_model_20250725_233058.pkl;A laptop computer sitting on top of a desk.
cs2.jpg;best_model_20250726_111600.pkl;A laptop computer sitting on top of a desk.
cs2.jpg;best_model_20250726_183853.pkl;A laptop computer sitting on top of a desk.
duck.jpg;best_model_20250725_125558.pkl;A cat is sitting on top of a chair.
duck.jpg;best_model_20250725_135939.pkl;A toy penguin sitting on top of a wooden table.
duck.jpg;best_model_20250725_174616.pkl;A picture of a toy penguin sitting on top of a paper plate.
duck.jpg;best_model_20250725_233058.pkl;a close up of a toy penguin on a table
duck.jpg;best_model_20250726_111600.pkl;A picture of an egg sitting on top of a white plate.
duck.jpg;best_model_20250726_183853.pkl;a close up of some food on a table
match.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
match.jpg;best_model_20250725_135939.pkl;A group of men playing soccer on a soccer field.
match.jpg;best_model_20250725_174616.pkl;A group of men playing soccer on a field.
match.jpg;best_model_20250725_233058.pkl;A group of men playing soccer on a field.
match.jpg;best_model_20250726_111600.pkl;A group of men playing soccer on a field.
match.jpg;best_model_20250726_183853.pkl;A group of men playing a game of soccer.
old_gym.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
old_gym.jpg;best_model_20250725_135939.pkl;A pair of scissors sitting on top of a pair of shoes.
old_gym.jpg;best_model_20250725_174616.pkl;A black and white photo of a parking meter.
old_gym.jpg;best_model_20250725_233058.pkl;A clock mounted to the side of a building.
old_gym.jpg;best_model_20250726_111600.pkl;A black and white photo of a parking meter.
old_gym.jpg;best_model_20250726_183853.pkl;A clock mounted to the side of a building.
opera.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
opera.jpg;best_model_20250725_135939.pkl;A group of people walking down a busy street.
opera.jpg;best_model_20250725_174616.pkl;A group of people walking down a street with umbrellas.
opera.jpg;best_model_20250725_233058.pkl;A group of people walking down a street next to a tall building.
opera.jpg;best_model_20250726_111600.pkl;A group of people standing in front of a large building.
opera.jpg;best_model_20250726_183853.pkl;A large building with a clock on the top of it.
psg_stadium.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
psg_stadium.jpg;best_model_20250725_135939.pkl;A group of people playing a game of soccer.
psg_stadium.jpg;best_model_20250725_174616.pkl;A crowd of people watching a soccer game.
psg_stadium.jpg;best_model_20250725_233058.pkl;A large group of people sitting in a stadium.
psg_stadium.jpg;best_model_20250726_111600.pkl;A group of people standing around a soccer ball.
psg_stadium.jpg;best_model_20250726_183853.pkl;A large crowd of people watching a soccer game.
shopping.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
shopping.jpg;best_model_20250725_135939.pkl;A woman is walking down the street with an umbrella.
shopping.jpg;best_model_20250725_174616.pkl;A woman and a man walking down a street.
shopping.jpg;best_model_20250725_233058.pkl;A woman and a man walking down a street.
shopping.jpg;best_model_20250726_111600.pkl;A woman and a man walking down a street.
shopping.jpg;best_model_20250726_183853.pkl;A group of people walking down a street.
sofia.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
sofia.jpg;best_model_20250725_135939.pkl;A young boy riding a skateboard down a street.
sofia.jpg;best_model_20250725_174616.pkl;A little boy standing on a sidewalk holding a baseball bat.
sofia.jpg;best_model_20250725_233058.pkl;A small child standing on a sidewalk holding a blue frisbee.
sofia.jpg;best_model_20250726_111600.pkl;A little boy standing on a sidewalk with a frisbee in his hand.
sofia.jpg;best_model_20250726_183853.pkl;A little boy playing with a frisbee in the grass.
sofia_1.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
sofia_1.jpg;best_model_20250725_135939.pkl;A man is sitting on the back of a small boat.
sofia_1.jpg;best_model_20250725_174616.pkl;A little girl sitting in the back of a pickup truck.
sofia_1.jpg;best_model_20250725_233058.pkl;A little girl sitting on the back of a motorcycle in a grassy field.
sofia_1.jpg;best_model_20250726_111600.pkl;A little girl sitting on the back of a truck in a field.
sofia_1.jpg;best_model_20250726_183853.pkl;A little boy sitting in the back of a pickup truck.
sofia_2.jpg;best_model_20250725_125558.pkl;A group of people walking down the street.
sofia_2.jpg;best_model_20250725_135939.pkl;A Christmas tree in front of a Christmas tree.
sofia_2.jpg;best_model_20250725_174616.pkl;A teddy bear sitting on top of a Christmas tree.
sofia_2.jpg;best_model_20250725_233058.pkl;A teddy bear sitting on top of a Christmas tree.
sofia_2.jpg;best_model_20250726_111600.pkl;A Christmas tree sitting on top of a Christmas tree.
sofia_2.jpg;best_model_20250726_183853.pkl;A teddy bear sitting on top of a Christmas tree.
sport.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
sport.jpg;best_model_20250725_135939.pkl;A group of people playing frisbee in a park.
sport.jpg;best_model_20250725_174616.pkl;A group of young men playing frisbee in a park.
sport.jpg;best_model_20250725_233058.pkl;A group of people sitting on a park bench.
sport.jpg;best_model_20250726_111600.pkl;A group of young men playing with a Frisbee in a park.
sport.jpg;best_model_20250726_183853.pkl;A group of men playing frisbee in a park.
tennis.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
tennis.jpg;best_model_20250725_135939.pkl;A man holding a tennis racquet on a tennis court.
tennis.jpg;best_model_20250725_174616.pkl;A man holding a tennis racquet on a court.
tennis.jpg;best_model_20250725_233058.pkl;Two men playing tennis on a tennis court.
tennis.jpg;best_model_20250726_111600.pkl;Two men playing tennis on a tennis court.
tennis.jpg;best_model_20250726_183853.pkl;A man holding a tennis racquet on a tennis court.
toy.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
toy.jpg;best_model_20250725_135939.pkl;A bunch of books are on display in a room.
toy.jpg;best_model_20250725_174616.pkl;A black and white photo of a model submarine.
toy.jpg;best_model_20250725_233058.pkl;A model of a model of a model ship.
toy.jpg;best_model_20250726_111600.pkl;A model of a model of a model of a pirate ship.
toy.jpg;best_model_20250726_183853.pkl;A model of a toy train on a table.
family.png;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
family.png;best_model_20250725_135939.pkl;A group of people sitting around a table with laptops.
family.png;best_model_20250725_174616.pkl;A group of people sitting at a table with a laptop computer.
family.png;best_model_20250725_233058.pkl;A group of people sitting at a table with a laptop computer.
family.png;best_model_20250726_111600.pkl;A group of people sitting around a table.
family.png;best_model_20250726_183853.pkl;A group of people sitting around a table with laptops.
